0,20709
0,2750
0,2084
0,2125
0,2000
0,2000
0,1917
0,1916
0,1875
0,1916
1,1125
1,792
1,750
1,708
1,709
1,625
1,792
1,750
1,666
1,625
2,1542
2,1834
2,1500
2,1583
2,1708
2,1542
2,267208
2,4625
2,1958
2,1625
3,3541
3,3042
3,3041
3,3792
3,3625
3,3500
3,3416
3,3542
3,3916
3,3750
4,9292
4,8000
4,7209
4,7416
4,8292
4,7375
4,9334
4,7792
4,8292
4,8500
5,18083
5,19667
5,19959
5,20917
5,22875
5,21417
5,19791
5,18459
5,18833
5,17916
6,47916
6,42208
6,40708
6,47583
6,45750
6,52791
6,44833
6,61458
6,47083
6,43958
7,93708
7,103459
7,98417
7,104084
7,94625
7,115416
7,98291
7,91708
7,96584
7,159209
8,375375
8,318333
8,288709
8,272083
8,214125
8,241209
8,336625
8,276417
8,229375
8,324041
9,741708
9,714125
9,764000
9,678458
9,587917
9,848208
9,694458
9,634750
9,637666
9,783709
10,1551875
10,1632000
10,1391125
10,1519333
10,1913500
10,1523666
10,4445584
10,2325792
10,3074167
10,2003250
11,3339541
11,3224458
11,2949958
11,5686333
11,2943250
11,3189125
11,3106292
11,3126042
11,3371583
11,5161708
12,6333750
12,7720583
12,7001750
12,6621958
12,6747583
12,6445000
12,6350667
12,6890750
12,6613709
12,7108500
13,14637375
13,13864292
13,16655041
13,14700542
13,13776167
13,14827542
13,13941459
13,15288750
13,15002792
13,13909334
14,33516458
14,32629875
14,29913583
14,31286792
14,29782750
14,31525417
14,33073209
14,30687417
14,34176125
14,31848500
15,64619416
15,62571541
15,67614125
15,63784000
15,65307416
15,67822917
15,68763834
15,62268709
15,68673625
15,65144333
16,139156292
16,143447084
16,141082250
16,132702708
16,150717541
16,142108250
16,142218917
16,142975458
16,146092375
16,158895125
