x,avg Time (ns)
0,1070.7
1,595.6
2,812.7
3,1533.5
4,3729.1
5,13608.2
6,42579.2
7,162891.6
8,633029.3
9,3320149.8
10,12843354.2
11,49391695.7
12,231414116.8
13,758809541.7
14,2916325395.6
15,11690826370.8
16,47264947183.2
