x,avg Time (ns)
0,1150.1
1,516.7
2,783.4
3,1470.6
4,3650.1
5,11429.3
6,40945.8
7,162004.2
8,766633.5
9,2633875.1
10,11097379.1
11,45112937.6
12,183666116.7
13,731411412.4
14,2891113112.4
15,11648084070.8
16,46615888966.8
