x,avg Time (ns)
0,253158.5
1,1770.9
2,3875.0
3,8591.6
4,18266.7
5,41691.6
6,99258.3
7,256745.9
8,622412.4
9,1681999.9
10,4245996.0
11,10515483.5
12,26411712.5
13,63459583.3
14,159401333.6
15,360915870.8
16,887638912.6
