x,avg Time (ns)
0,854.2
1,616.5
2,845.7
3,1791.8
4,5008.2
5,9108.3
6,21229.1
7,48775.1
8,119237.4
9,321958.3
10,626450.0
11,1542591.8
12,2899821.0
13,6559937.3
14,15390937.5
15,32534062.4
16,68858658.4
