x,avg Time (ns)
0,1062.6
1,533.2
2,770.8
3,1450.0
4,3583.6
5,11079.3
6,39662.5
7,152137.5
8,600345.8
9,2617779.1
10,11105066.5
11,44908037.5
12,185771100.2
13,719554120.8
14,2899517970.7
15,11704789866.7
16,46749757625.1
