x,avg Time (ns)
0,1749.8
1,1054.1
2,1841.7
3,4729.1
4,14250.0
5,53558.4
6,201675.0
7,805875.0
8,3128108.4
9,14373920.9
10,59993925.1
11,237026395.8
12,952725975.0
13,3848182100.1
14,15464292337.5
15,61821985737.5
16,247519354479.3
