x,avg Time (ns)
0,595.8
1,608.3
2,1208.0
3,2283.4
4,6275.1
5,22175.1
6,81762.5
7,321733.3
8,1276754.2
9,6272191.7
10,29543266.7
11,94983774.9
12,380428195.8
13,1463424195.9
14,6017022512.6
15,23812132750.1
16,93912022712.6
