x,avg Time (ns)
0,3371.0
1,2108.2
2,2783.0
3,4575.0
4,7966.6
5,17450.0
6,48354.2
7,88778.8
8,219933.3
9,504991.6
10,1074720.8
11,2396650.2
12,5405729.1
13,12657112.6
14,24008383.3
15,56269458.1
16,115094399.9
