x,avg Time (ns)
0,562.6
1,841.5
2,941.6
3,1662.6
4,4125.0
5,10008.3
6,21045.8
7,48208.5
8,109270.8
9,295437.4
10,710166.6
11,1351921.0
12,2950004.2
13,7801412.3
14,15477583.3
15,29146975.0
16,71952775.1
