x,avg Time (ns)
0,891.7
1,1712.4
2,2541.7
3,4362.4
4,10479.2
5,28237.5
6,63883.5
7,163062.5
8,309791.6
9,756237.7
10,1986745.6
11,4573441.6
12,11576987.7
13,23088087.5
14,56678966.6
15,118952770.9
16,284389991.5
