x,avg Time (ns)
0,528.9
1,550.1
2,779.2
3,1462.4
4,3570.7
5,11075.1
6,40083.3
7,151175.0
8,588270.8
9,2596066.7
10,11172991.6
11,45507233.3
12,183813587.5
13,749061637.7
14,3021234833.5
15,11890918987.3
16,47474391950.0
