x,avg Time (ns)
0,2225.1
1,1870.9
2,2616.5
3,4529.2
4,7891.9
5,20199.8
6,44095.8
7,100900.2
8,217895.7
9,645654.2
10,1753425.2
11,5235041.7
12,15519683.3
13,48866662.6
14,176196800.1
15,626841325.0
16,2440904554.2
