x,avg Time (ns)
0,1000.2
1,1041.4
2,1908.4
3,3900.2
4,8829.1
5,19666.7
6,43050.1
7,100441.7
8,229929.4
9,565408.2
10,1289800.1
11,2870575.1
12,6262132.9
13,14422495.9
14,30348191.7
15,65153900.1
16,139331583.2
