x,avg Time (ns)
0,908.3
1,1670.8
2,3737.4
3,8125.0
4,21475.0
5,90700.3
6,202966.6
7,915733.3
8,3249554.2
9,10029241.5
10,41498291.7
11,151927483.4
12,640804104.3
13,2621449779.1
14,10219812004.2
15,43549395596.0
16,169444125987.4
