n,avg_waste
2^1,0.6497036578064871
2^2,0.3614854079386221
2^3,0.5615724405047945
2^4,0.568072312487955
2^5,0.6550634423600713
2^6,0.7377853589468394
2^7,0.8804770961708253
2^8,1.0605193192910651
2^9,1.4064871232876472
2^10,1.9659741912296909
2^11,2.8962635307493265
2^12,4.4856685173032576
2^13,7.313703245558703
2^14,12.377833172631831
2^15,21.591113352283074
