n,avg_waste
2^1,0.6491823253052427
2^2,0.36994876289238815
2^3,0.5492764398763659
2^4,0.5800006186722576
2^5,0.6362089431029959
2^6,0.7217559819816214
2^7,0.8314396201657993
2^8,1.003606393920214
2^9,1.2661697150477607
2^10,1.7077498690012507
2^11,2.42869837744059
2^12,3.6606077013718483
2^13,5.852170891567736
2^14,9.839423043337497
2^15,17.312498371377625
