n,avg_waste
2^1,0.6532713918307167
2^2,0.36613317315773153
2^3,0.5554184925630987
2^4,0.5733043524298044
2^5,0.6439493021007521
2^6,0.7151321026984558
2^7,0.8324140708560048
2^8,1.0180148431137441
2^9,1.266234496620543
2^10,1.6951538856628408
2^11,2.4355382732621993
2^12,3.6388086975076854
2^13,5.855019776916569
2^14,9.910110903245798
2^15,17.28615806861699
