n,avg_waste
2^1,0.677919208367977
2^2,0.40220978272259295
2^3,0.5168565545153241
2^4,0.5711218885205249
2^5,0.7940988048966929
2^6,0.7639695076398847
2^7,0.8215411207799967
2^8,1.0309889584984149
2^9,1.3208380223846177
2^10,1.6853161032630206
2^11,2.3395299271027077
2^12,3.7161351375970297
2^13,5.627690459278915
2^14,10.037720773004837
2^15,17.464340166114926
2^16,31.75865154726604
2^17,59.511138786800196
2^18,112.90335811941792
2^19,219.4853047392598
