n,avg_waste
2^1,0.6393966275338686
2^2,0.38395643762076387
2^3,0.6307886305738505
2^4,0.6051676140207124
2^5,0.5862073965722187
2^6,0.650060370069253
2^7,0.8722125530951811
2^8,1.0400110299982408
2^9,1.3630815185101413
2^10,1.9386805386412902
2^11,3.0438840857211193
2^12,4.627467695428257
2^13,7.174504723384613
2^14,12.233046074008916
2^15,21.664800345721112
2^16,38.96117454935381
2^17,71.22562678975228
2^18,132.4849051458943
2^19,253.88071134326069
