n,avg_waste
2^1,0.6676666952397753
2^2,0.3829832558662172
2^3,0.5937600067297125
2^4,0.7169818395470456
2^5,1.1472954220522995
2^6,1.7157659404938161
2^7,3.25804690906383
2^8,6.026637436482529
2^9,12.203290059824651
2^10,23.376299950116138
2^11,47.813229272077855
2^12,94.63151547523617
2^13,188.92051093835258
2^14,377.3443267233514
2^15,753.050246136184
2^16,1508.9350725808347
2^17,3014.4717368055412
2^18,6029.680157035881
2^19,12072.020285111654
